filename,basename,toolid,toolmode,parser_version,runid,start,duration,exit_code,findings,infos,errors,fails
MyData/Benchmarks/Study_SamplesSet/002d5f79eff9f8d6d47a61fdaf5bf0c6.sol,002d5f79eff9f8d6d47a61fdaf5bf0c6.sol,semgrep,solidity,2023/08/21,20240209_1330,1707489382.7886186,1.9742131233215332,0,"{init_variables_with_default_value,use_ownable2step}",{},{},{}
MyData/Benchmarks/Study_SamplesSet/003c84ce2828441c5cf062c642d5492c.sol,003c84ce2828441c5cf062c642d5492c.sol,semgrep,solidity,2023/08/21,20240209_1330,1707487625.780863,1.9200491905212402,0,"{array_length_outside_loop,inefficient_state_variable_increment,state_variable_read_in_a_loop,unnecessary_checked_arithmetic_in_loop,use_nested_if,use_prefix_increment_not_postfix}",{},{},{}
MyData/Benchmarks/Study_SamplesSet/007c010f1192c459d19859ee01c41a34.sol,007c010f1192c459d19859ee01c41a34.sol,semgrep,solidity,2023/08/21,20240209_1330,1707489104.8557627,1.900813102722168,0,{use_ownable2step},{},{},{}
MyData/Benchmarks/Study_SamplesSet/00805ffc6f3b3ead5a87d50efd5ac2be.sol,00805ffc6f3b3ead5a87d50efd5ac2be.sol,semgrep,solidity,2023/08/21,20240209_1330,1707487334.3257618,1.9777870178222656,0,"{inefficient_state_variable_increment,use_nested_if}",{},{},{}
MyData/Benchmarks/Study_SamplesSet/008ee0364adf0932325253f494e9851b.sol,008ee0364adf0932325253f494e9851b.sol,semgrep,solidity,2023/08/21,20240209_1330,1707487516.2430809,1.9426143169403076,0,"{init_variables_with_default_value,use_nested_if}",{},{},{}
MyData/Benchmarks/Study_SamplesSet/0109eb4190332c1261dedf7275cecdc2.sol,0109eb4190332c1261dedf7275cecdc2.sol,semgrep,solidity,2023/08/21,20240209_1330,1707485880.2716153,1.925774097442627,0,"{inefficient_state_variable_increment,init_variables_with_default_value,use_nested_if}",{},{},{}
MyData/Benchmarks/Study_SamplesSet/0120a2934d0ffe4b904830fe899f554b.sol,0120a2934d0ffe4b904830fe899f554b.sol,semgrep,solidity,2023/08/21,20240209_1330,1707486581.3825147,1.7973694801330566,0,{},{},{},{}
MyData/Benchmarks/Study_SamplesSet/014a0178b1fb411bcff909ff91c1f21f.sol,014a0178b1fb411bcff909ff91c1f21f.sol,semgrep,solidity,2023/08/21,20240209_1330,1707488539.6746125,1.8837697505950928,0,{},{},{},{}
MyData/Benchmarks/Study_SamplesSet/018e9418a46c3e7cccb7975b4f3b785d.sol,018e9418a46c3e7cccb7975b4f3b785d.sol,semgrep,solidity,2023/08/21,20240209_1330,1707487179.0897658,2.0151126384735107,0,"{array_length_outside_loop,state_variable_read_in_a_loop,unnecessary_checked_arithmetic_in_loop,use_nested_if,use_prefix_decrement_not_postfix,use_prefix_increment_not_postfix}",{},{},{}
MyData/Benchmarks/Study_SamplesSet/01a5db3b517a437d31f790564d8a0149.sol,01a5db3b517a437d31f790564d8a0149.sol,semgrep,solidity,2023/08/21,20240209_1330,1707486037.6136608,1.917539358139038,0,{use_nested_if},{},{},{}
