contractAddress,Semgrep_Labels,Semgrep_AnalysisTime,Semgrep_SWC_Code,Semgrep_SWC_Title,Semgrep_DASP_Rank,Semgrep_DASP_Title
002d5f79eff9f8d6d47a61fdaf5bf0c6,"['init_variables_with_default_value', 'use_ownable2step']",1.9742131233215328,[],[],[],[]
003c84ce2828441c5cf062c642d5492c,"['array_length_outside_loop', 'inefficient_state_variable_increment', 'state_variable_read_in_a_loop', 'unnecessary_checked_arithmetic_in_loop', 'use_nested_if', 'use_prefix_increment_not_postfix']",1.92004919052124,[],[],[],[]
007c010f1192c459d19859ee01c41a34,['use_ownable2step'],1.900813102722168,[],[],[],[]
00805ffc6f3b3ead5a87d50efd5ac2be,"['inefficient_state_variable_increment', 'use_nested_if']",1.9777870178222656,[],[],[],[]
008ee0364adf0932325253f494e9851b,"['init_variables_with_default_value', 'use_nested_if']",1.942614316940308,[],[],[],[]
0109eb4190332c1261dedf7275cecdc2,"['inefficient_state_variable_increment', 'init_variables_with_default_value', 'use_nested_if']",1.925774097442627,[],[],[],[]
0120a2934d0ffe4b904830fe899f554b,safe,1.7973694801330566,[],[],[],[]
014a0178b1fb411bcff909ff91c1f21f,safe,1.8837697505950928,[],[],[],[]
018e9418a46c3e7cccb7975b4f3b785d,"['array_length_outside_loop', 'state_variable_read_in_a_loop', 'unnecessary_checked_arithmetic_in_loop', 'use_nested_if', 'use_prefix_decrement_not_postfix', 'use_prefix_increment_not_postfix']",2.0151126384735107,[],[],[],[]
01a5db3b517a437d31f790564d8a0149,['use_nested_if'],1.917539358139038,[],[],[],[]
01a8f206b8a8d4ad2fd3fd8f03f70ec5,['use_nested_if'],1.969128131866455,[],[],[],[]
01affacb32dcc51263a8bd96d85c0929,"['inefficient_state_variable_increment', 'use_multiple_require']",1.6975853443145752,[],[],[],[]
01ba843f6c182b199f84e31c24935fc1,"['array_length_outside_loop', 'state_variable_read_in_a_loop', 'unnecessary_checked_arithmetic_in_loop', 'use_multiple_require', 'use_prefix_increment_not_postfix']",1.9532129764556885,[],[],[],[]
01d3a06244c775067a25e643e2e3af73,"['init_variables_with_default_value', 'unnecessary_checked_arithmetic_in_loop', 'use_multiple_require', 'use_ownable2step', 'use_prefix_increment_not_postfix']",2.003451347351074,[],[],[],[]
01d6874c297e4148ee3263503ff762b8,safe,1.957634687423706,[],[],[],[]
01dd4a2eacf1f751bcf9070bca20c3a2,"['non_payable_constructor', 'use_custom_error_not_require', 'use_short_revert_string']",1.623725652694702,[],[],[],[]
02000921b6e69ce9772624164efe30d6,['use_nested_if'],1.595815896987915,[],[],[],[]
0217712a4345288b8a3ba6c16c33b1c9,['use_nested_if'],1.7086703777313232,[],[],[],[]
0222f84964a3db6d24ca1b21b09fa6f1,['use_nested_if'],1.921344518661499,[],[],[],[]
023f3948c8f45b566e362749fd58f978,"['inefficient_state_variable_increment', 'init_variables_with_default_value', 'use_multiple_require']",1.630220651626587,[],[],[],[]
02ac467d36c41e3add349a89aa3b60ff,"['use_nested_if', 'use_prefix_increment_not_postfix']",1.985162734985352,[],[],[],[]
02e245938145d2e3e48d467248445a9a,safe,1.9039421081542969,[],[],[],[]
032cf60cd0f1caefc33e33f687f018ff,"['init_variables_with_default_value', 'state_variable_read_in_a_loop', 'use_multiple_require', 'use_nested_if']",2.080838203430176,[],[],[],[]
0345fd45c66b19acd3d1ea62659fe7c6,safe,1.5227906703948977,[],[],[],[]
037b28dd4a4145b2363c3e823896d5ba,"['state_variable_read_in_a_loop', 'use_prefix_increment_not_postfix']",1.900153398513794,[],[],[],[]
038fd9b9bdfc5609cc410cc8f022da05,"['init_variables_with_default_value', 'use_multiple_require', 'use_nested_if']",2.006414890289306,[],[],[],[]
039204deeed2612d8cec03eb9be3d5ac,['inefficient_state_variable_increment'],1.8761076927185056,[],[],[],[]
03aa8321f3609a299aa0cde2ee8a8e3b,"['init_variables_with_default_value', 'non_payable_constructor', 'use_nested_if', 'use_prefix_increment_not_postfix']",1.9429681301116943,[],[],[],[]
03cb12826f2844106216a23484264edf,"['array_length_outside_loop', 'inefficient_state_variable_increment', 'unnecessary_checked_arithmetic_in_loop', 'use_multiple_require', 'use_prefix_increment_not_postfix']",1.7291812896728516,[],[],[],[]
