id,DASP,1,2,3,4,5,6,7,8,9,10
037b28dd4a4145b2363c3e823896d5ba,"[10.0, 4.0, 5.0]",0,0,0,0,0,0,0,0,0,0
0c11eade660c549fd30cc7b4007f6ef2,"[3, 2, 10.0, 6]",0,0,0,0,0,0,0,0,0,0
0cdbbeab4de6b46689588c1ae5d2e97c,[10.0],0,0,0,0,0,0,0,0,0,0
0cdc64278f3169e4b4be494f50a9067f,"[8.0, 1.0, 10, 4.0]",0,0,0,0,0,0,0,0,0,0
10a0dbd8490e8e1d2369b66bf7ea6c0c,"[1.0, 2.0, 4.0, 5.0, 10]",0,0,0,0,0,0,0,0,0,0
12d3b6e46ba8276510e366c348bc13cf,"[10.0, 3]",0,0,0,0,0,0,0,0,0,0
1eab29a5b44cb226c06cff3ad49782aa,"[10, 2.0]",0,0,0,0,0,0,0,0,0,0
22fc1f0341e063e69a7757e8ce96d153,"[2.0, 10.0]",0,0,0,0,0,0,0,0,0,0
25da2b1b1e77bba58cf234eac71ad996,"[10.0, 3]",0,0,0,0,0,0,0,0,0,0
27bc70fee1ba95b4278050baa580c02d,"[1.0, 10.0, 4.0, 5.0]",0,0,0,0,0,0,0,0,0,0
286b79c7751e24ec56dc3e017b752c2d,"[1.0, 2, 3, 6.0, 8.0, 10.0]",0,0,0,0,0,0,0,0,0,0
2df19a9e14258e4ccd927da453faca58,[10.0],0,0,0,0,0,0,0,0,0,0
32f3ebc6f4e87a2e694149ccd94f91fa,"[8.0, 10.0]",0,0,0,0,0,0,0,0,0,0
33f2be2e1138eeb24108e39c23ed1aac,"[2.0, 3, 4.0, 5.0, 10.0]",0,0,0,0,0,0,0,0,0,0
353f4415992e2b4ee5c1a0d3e49e95c0,"[10, 1.0, 2.0, 3]",0,0,0,0,0,0,0,0,0,0
384ff64be93df3ce699995083aaa69c2,"[10.0, 1.0, 2.0, 3]",0,0,0,0,0,0,0,0,0,0
417de51398cd0abd60af4939880daee5,"[10.0, 4.0]",0,0,0,0,0,0,0,0,0,0
43c1aafd835e7d0696476c5b669aafbe,"[10.0, 3, 4.0, 5.0]",0,0,0,0,0,0,0,0,0,0
447f15be04cd6f0477f1a0257c881733,"[1.0, 2, 3, 4.0, 10.0]",0,0,0,0,0,0,0,0,0,0
4610c460c14ad66ac1653b298e4a0743,"[2.0, 10.0]",0,0,0,0,0,0,0,0,0,0
486bc836595df143884f54a835491741,[10.0],0,0,0,0,0,0,0,0,0,0
496d4aaf2411621a61975ed7495b426a,"[10.0, 2.0, 4.0]",0,0,0,0,0,0,0,0,0,0
