id,DASP,1,2,3,4,5,6,7,8,9,10
060542382a402916ceb3e1bf03cde783,"[2.0, 8.0]",0,1,0,0,0,0,0,1,0,0
06c72a09a66dc22c9898ab9ca5cdaae9,[2.0],0,1,0,0,0,0,0,0,0,0
06e98fd1a644fe1e46ff58974127a1bb,"[10.0, 2.0, 1.0]",1,1,0,0,0,0,0,0,0,1
0761a37c97dccdc9d7f9d036e8588207,"[10.0, 2.0, 1.0]",1,1,0,0,0,0,0,0,0,1
07dfae0441fd39d7c11c113600f30091,"[2.0, 1.0, 5.0, 8.0, 4.0]",1,1,0,1,1,0,0,1,0,0
081234acd7c565a6692e5ecd767fa464,"[10.0, 1.0]",1,0,0,0,0,0,0,0,0,1
0d8fa90a6d3b16bb345153356933a128,"[2.0, 10.0, 4.0, 1.0]",1,1,0,1,0,0,0,0,0,1
0dbc325aa6f6923e3a4a925e3830c38a,"[2.0, 6.0, 1.0, 5.0, 8.0, 4.0, 10.0]",1,1,0,1,1,1,0,1,0,1
0ddd1c046d2a572672c87f87e287a176,"[2.0, 1.0, 4.0]",1,1,0,1,0,0,0,0,0,0
0f77d5a3a5121cabb56b39ee1e11aac4,"[2.0, 10.0, 4.0, 1.0]",1,1,0,1,0,0,0,0,0,1
1277006e5ed70091eab8a8371950f2d1,[2.0],0,1,0,0,0,0,0,0,0,0
160b5628c19386cb7ca4da92e9da26f0,"[2.0, 6.0, 8.0, 1.0, 10.0]",1,1,0,0,0,1,0,1,0,1
170efd3c08dd99667ce0bafd8e9ef6e3,"[2.0, 6.0, 1.0, 5.0, 8.0, 10.0]",1,1,0,0,1,1,0,1,0,1
17186f654d31fa50dc5f33c4eb221a23,"[2.0, 8.0, 5.0]",0,1,0,0,1,0,0,1,0,0
17b002d621d0adb10714b85f9514369d,"[2.0, 8.0, 5.0]",0,1,0,0,1,0,0,1,0,0
17e45be609e81cb9ee2903336517ba4a,"[2.0, 10.0]",0,1,0,0,0,0,0,0,0,1
188ab807816ab491981f51fb9c18ac69,[2.0],0,1,0,0,0,0,0,0,0,0
1911c4c3b3a9a2814a7b7a52f1de6008,"[2.0, 1.0, 5.0, 8.0, 4.0]",1,1,0,1,1,0,0,1,0,0
196fdafa09f4801b6d5ff867976a19c3,"[2.0, 6.0, 8.0, 10.0]",0,1,0,0,0,1,0,1,0,1
1b15a0a530394a1ff5768af418ebfecc,[8.0],0,0,0,0,0,0,0,1,0,0
1b3486dac06eb803b92f74b3f15e66e5,"[2.0, 8.0, 1.0]",1,1,0,0,0,0,0,1,0,0
1bd057d453253eb65727796e2634a5a0,"[2.0, 10.0, 5.0]",0,1,0,0,1,0,0,0,0,1
1c75347da7163c0e38239167e91113fb,"[2.0, 1.0, 8.0]",1,1,0,0,0,0,0,1,0,0
1ce0fc02d1818d9abede82a0d7a27e4b,"[2.0, 1.0, 5.0]",1,1,0,0,1,0,0,0,0,0
1cf130ed8e308a1667380df4f5484b8f,[8.0],0,0,0,0,0,0,0,1,0,0
1d89df53144c08b845b4fc9facfe34ef,"[2.0, 4.0, 1.0]",1,1,0,1,0,0,0,0,0,0
1f077783b64869c567cbf82382954b7a,[2.0],0,1,0,0,0,0,0,0,0,0
1fbdf5bef07a78ed5671d580eaa96918,"[2.0, 8.0]",0,1,0,0,0,0,0,1,0,0
20e59e5e3c572f2ca9615794ce9420af,"[10.0, 1.0]",1,0,0,0,0,0,0,0,0,1
2130c1d63bf4b83ef1554ce5a233ed74,"[2.0, 8.0, 5.0]",0,1,0,0,1,0,0,1,0,0
22ac04e7328e9ef0e4eef6cb20f7ce20,"[2.0, 10.0]",0,1,0,0,0,0,0,0,0,1
23cdcd6d3e6ea50e02950ca2383949f3,"[4.0, 2.0, 1.0, 8.0]",1,1,0,1,0,0,0,1,0,0
246cda85b71ea82251323cce2809dbe3,[2.0],0,1,0,0,0,0,0,0,0,0
254b01ed37a09e85ceddd48aa6ff12ff,"[2.0, 6.0, 1.0, 8.0, 10.0]",1,1,0,0,0,1,0,1,0,1
25ecaf43663af0ab0868ad0cb3d8e6f9,"[2.0, 6.0, 8.0, 10.0]",0,1,0,0,0,1,0,1,0,1
271cb70894d8d948500ed3548ed33925,[8.0],0,0,0,0,0,0,0,1,0,0
2852538c6e5131cc5fcc9ac58a74e5cf,"[2.0, 10.0, 4.0, 1.0]",1,1,0,1,0,0,0,0,0,1
285cfbf16564f663dc5c45587896ac9b,"[2.0, 1.0, 10.0, 8.0, 4.0]",1,1,0,1,0,0,0,1,0,1
28afc25008117ec6a81234555124049e,"[10.0, 1.0]",1,0,0,0,0,0,0,0,0,1
2b43ed6272900ff57bdf55da0d054ebf,"[10.0, 2.0, 1.0]",1,1,0,0,0,0,0,0,0,1
2bf6f5458ef5ebdb9e89b2b723ba2e47,"[10.0, 2.0, 1.0]",1,1,0,0,0,0,0,0,0,1
2ef5c829e796b8cd723a49c55dccb39f,"[2.0, 1.0, 4.0]",1,1,0,1,0,0,0,0,0,0
2facec13a0d4bfd480faf725405cbcfe,"[10.0, 1.0]",1,0,0,0,0,0,0,0,0,1
319642dfcda3ff8b8d46c4eb6dd207ad,"[2.0, 10.0, 8.0, 5.0]",0,1,0,0,1,0,0,1,0,1
327d0766e93e7ebb7ac491447f7d720b,"[2.0, 1.0, 8.0, 4.0]",1,1,0,1,0,0,0,1,0,0
3318261750ec0280d9552f795c5cc22e,"[2.0, 6.0, 8.0, 10.0]",0,1,0,0,0,1,0,1,0,1
331f0f3635feb0ea21054662ac82a35b,[8.0],0,0,0,0,0,0,0,1,0,0
33d8fe36cf63471b20849e45701b3813,"[10.0, 8.0, 5.0]",0,0,0,0,1,0,0,1,0,1
35772953c0bbc2bb7d9be48050c7fc87,"[2.0, 6.0, 10.0, 8.0]",0,1,0,0,0,1,0,1,0,1
36894fdeed07633393fffdf5fb01b89b,"[2.0, 6.0, 5.0, 8.0, 1.0, 10.0]",1,1,0,0,1,1,0,1,0,1
39154ab86b53b8e3a39c30b84b130256,"[2.0, 1.0, 8.0, 5.0, 4.0]",1,1,0,1,1,0,0,1,0,0
3a2c9484999ca87c335e8e84801495a7,[2.0],0,1,0,0,0,0,0,0,0,0
3ab6356a5eb2c3c14897fc21ed6ebbcb,"[2.0, 1.0, 4.0]",1,1,0,1,0,0,0,0,0,0
3cf41c302d0dae3f2190abcd7d832f0a,"[2.0, 6.0, 10.0, 8.0, 5.0]",0,1,0,0,1,1,0,1,0,1
3da12140af9541c656baa96decdbb670,"[10.0, 2.0, 8.0]",0,1,0,0,0,0,0,1,0,1
3dadeb7e3c9cea9329b1491b884c0f19,"[4.0, 10.0, 1.0, 2.0]",1,1,0,1,0,0,0,0,0,1
3de769c437cc414f28f0e02f78594a35,"[2.0, 1.0, 4.0]",1,1,0,1,0,0,0,0,0,0
3ec58b50218ca4edd662d9a2143eedbc,"[10.0, 1.0]",1,0,0,0,0,0,0,0,0,1
3f71347b465b129d12a24b54ac5b465d,"[10.0, 8.0, 5.0]",0,0,0,0,1,0,0,1,0,1
4060560a9da63d25233ef2d24076e983,"[2.0, 1.0, 4.0]",1,1,0,1,0,0,0,0,0,0
409cb8dd440df2cf7e3c0520444871dd,"[2.0, 6.0, 8.0, 10.0]",0,1,0,0,0,1,0,1,0,1
4190feb5d4ce14bf8539d05bb5082aee,"[2.0, 6.0, 8.0, 10.0]",0,1,0,0,0,1,0,1,0,1
419b13b30f0a964ccf24286985c56031,"[2.0, 6.0, 10.0, 8.0, 5.0]",0,1,0,0,1,1,0,1,0,1
41c6b2adea1bc399854e620d7b2fcfe3,"[2.0, 10.0, 4.0, 1.0]",1,1,0,1,0,0,0,0,0,1
41f84b0b8118d03b17aa7d01c6bb4fe1,"[10.0, 8.0, 5.0]",0,0,0,0,1,0,0,1,0,1
420f1e83aba46adbdbb54457e2063152,"[10.0, 8.0]",0,0,0,0,0,0,0,1,0,1
4266c5a3f41b2a73c93050bbec1db7a5,"[2.0, 10.0]",0,1,0,0,0,0,0,0,0,1
4280a195fd3bff848f0fdba6c3d53f05,"[2.0, 10.0, 1.0, 4.0, 8.0]",1,1,0,1,0,0,0,1,0,1
42a336f711ffdee5c587e230f9716a0b,[2.0],0,1,0,0,0,0,0,0,0,0
42f7ca44d46d231688c465ea71f64d5e,"[2.0, 8.0]",0,1,0,0,0,0,0,1,0,0
43b3a5495b7c935c55cc97f0d62111b5,"[10.0, 1.0, 2.0, 8.0]",1,1,0,0,0,0,0,1,0,1
45a7580871f0ad7885cb9cda6b703a82,"[2.0, 10.0, 4.0, 1.0]",1,1,0,1,0,0,0,0,0,1
4610d6a3dd35306cb526d351b7ed1dd6,"[10.0, 2.0, 1.0]",1,1,0,0,0,0,0,0,0,1
46f4c0ae675e251931dfa2ee6556b035,"[2.0, 6.0, 8.0, 10.0]",0,1,0,0,0,1,0,1,0,1
48118c2b5ab26f5b2aab1b59352547b4,"[2.0, 10.0, 4.0, 1.0]",1,1,0,1,0,0,0,0,0,1
48a46f62a5ee4383d29c9ac00e406b23,[2.0],0,1,0,0,0,0,0,0,0,0
4a59c04698042db1d88c51de8ae1e12d,[8.0],0,0,0,0,0,0,0,1,0,0
4b24b03ac448d5a256ace0100f735714,"[10.0, 2.0, 8.0, 5.0, 1.0]",1,1,0,0,1,0,0,1,0,1
4c2765900748e57527062df0f52b9ee1,[2.0],0,1,0,0,0,0,0,0,0,0
